"holderAddress","DEPOSIT_NECT_VAULT","DEPOSIT_iBGT_VAULT","GALXE","CUBQUEST","HOLD_GENESIS_NFT","HOLD_BERAC_POL_NFT","HOLD_BERAC_POL_2_NFT","STAKE_DIRAC_Phase_2","Stake_LP_KODIAK","STAKE_INFRARED","STAKE_BGT_STATION","TOTAL_POINTS"
"0x128579227767c99c567284a5e895eb66c7d17f60",20,20,50,50,0,15,0,10,0,0,0,165
"0xcf0e9d28c79043d2a412ff889fc2cd6a8f1635ec",0,0,0,0,0,15,0,0,0,0,0,15
"0x0725faf58e743002ff5869754b71032d3e88aa02",0,0,0,0,15,0,0,0,0,0,0,15
"0x5e8bb171efb4ef1da79479c794d5b8ec550233f1",0,0,0,0,0,15,0,0,0,0,0,15
"0xf888321e980dcf01dea475029afcbf8af51fbde3",20,20,0,50,0,15,40,0,0,0,0,145
"0xae0ad2947c529560763db15cfc26e02d21cd3353",20,20,0,50,0,45,40,10,0,0,0,185
"0xdabedbfe4b6f6fc6f238feb4d2e42ffe6069506a",20,20,0,50,0,30,40,0,0,0,30,190
"0x7dbaf43fd648d931b0da0506a20f462e8b1865e2",0,0,0,0,0,0,40,0,0,0,0,40
"0x36711f81dd03698db06dcb071f8c738b33ccb768",0,0,50,0,0,0,0,0,0,0,0,50
"0xd0e9420932a05a28790174e5b0097d3a822c9d84",0,0,0,0,15,0,0,10,0,0,0,25
"0xa443109e3ab3a225ef7641f0d944ba80e129afbc",0,0,0,0,15,0,0,0,0,0,0,15
"0x2f6b67a9e7ca9f025b786e455261efe3c65ff7e8",20,20,50,50,15,15,0,0,0,0,0,170
"0x37c1322d68734d011adeace6ad39610cc231bc86",20,20,0,50,0,15,0,0,0,0,0,105
"0xcc97270c584747726b629198454fb64e09ed0940",20,20,50,50,0,0,0,10,0,0,0,150
"0x3eb2efe514d73f9ce521e65e1466c9374736016d",20,20,50,50,0,15,40,10,10,0,30,245
"0x3ee7dd6e4c2b469e1e50cfaee4910b88e0a9389d",20,20,0,0,0,0,0,10,0,0,0,50
"0xb3d8edaf090070d2691ebbf38c408f33b7c83a26",20,20,0,0,15,0,0,10,0,0,0,65
"0x5edc1a3963319345ba93ecd7e50f59e65590a523",20,20,0,50,0,0,0,0,0,0,0,90
"0x22a86031f028d7be4481e0333297be42ff016b0b",20,20,0,50,0,30,0,0,0,0,0,120
"0x6eb441d00e50c06d220832c48f6798cf8693ac44",20,20,0,50,0,15,0,10,10,0,0,125
"0x6da8ea04192100663c07eb1a99bb5a6c5eaee14f",20,20,0,0,0,30,40,10,0,0,0,120
"0xb168eb2d0cba59d1f59fb6f74520190ec21c192f",20,20,50,50,0,15,0,10,0,0,30,195
"0x6f0d7d31f8124621a91c7d27803f60dbf54e42bc",20,20,0,0,0,15,40,10,0,0,0,105
"0xd598e0ccbbc94714422d544f1caf162234c296ba",20,20,0,50,0,75,0,0,0,0,0,165
"0xaae1c2492a075eaf24a0c51987e81a5dbff15a90",20,20,50,50,0,15,0,10,0,0,0,165
"0x92778b744c7ab65b3ccbc4fadba7c37b324bd091",20,20,50,50,0,30,0,10,0,0,0,180
"0xe959bb5770d9b4cd8e3ee19da624e0f3ead5d18f",20,20,0,50,0,0,0,10,0,0,0,100
"0xcb45cfd138e31601601f3d5b2c0e44b340dd6864",20,20,50,50,0,45,40,10,10,0,0,245
"0xc22c8fcb98a4cf3ab22cb8f246991b81f97c4875",20,20,50,50,0,15,40,10,10,0,30,245
"0xb6fb95507814728801b0ab7c32b1b8682d134d91",0,20,0,0,0,15,0,0,0,0,0,35
"0xf509283a4c4d2ad94d30a5720369b0487fce1ae2",20,20,0,50,0,45,0,0,0,0,0,135
"0x07ed3e8e3ce42087e825011c316e17f0051cc983",20,20,0,50,0,60,40,10,0,0,0,200
"0x9e84ee5095a0e3a7b161b3301dc0ccd8172da7aa",0,0,50,0,30,0,40,10,0,0,0,130
"0x4d234519eefb6beca8dd7d192939bb218218db00",20,20,0,50,0,75,0,10,0,0,0,175
"0x1b4983d160b43abd7861ebd968201099cc559183",20,20,50,50,0,15,40,10,0,0,0,205
"0x62cfb1876755f124813efdd6f4f43b12236179c3",0,0,0,0,0,0,40,0,0,0,0,40
"0x64045b86562cecbc02e7e1aca5f3be6a34f8ad73",0,0,0,0,0,0,40,0,0,0,0,40
"0xe260246a5eeee3b4d8ce251c0e821be270628226",20,20,0,50,0,15,40,10,10,0,0,165
"0xdc20b9e741953339cd47c2c150dd170b36f1f70b",20,20,0,50,0,15,40,10,0,0,0,155
"0x5f31cb7ba045c271e1a38570ac5a087238d09227",20,20,0,50,0,45,0,0,0,0,0,135
"0xfeb3ba4f98051c27a37857f91d1328460a575b64",20,20,0,50,0,0,0,10,10,0,0,110
"0xa630493f1bb5246b3b36d6a55b1e3c4d0ca72e68",20,20,50,50,0,0,0,0,0,0,0,140
"0x223228e5dea62256ec37baf796cdb546efd8bd2a",20,20,50,50,0,30,40,10,0,0,0,220
